age,amenitiesavailable,amenitiesnot,area,balconies,bathroom,bhk,floor,locality,neworold,ownership,price,pricepersquare,status
1 - 2 years,"Car Parking,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Multipurpose Room","Lift Available,Power Backup,Sports Facility,Landscaped Gardens","1,860 sq ft",1,3,3 BHK Apartment ,"9, ",Kothrud,New,Co-Operative Society,15300000,"₹ 8,225/ sq ft ",Ready to move
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,Wifi","AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","1,450 sq ft",2,2,3 BHK Apartment ,"11, ",Balewadi High Street,Resale,Freehold,12000000,"₹ 8,275/ sq ft ","Ready to move,Semi-Furnished"
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,School,Hospital,ATM,Wifi","AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","1,500 sq ft",1,2,3 BHK Apartment ,"5, ",Hinjewadi,New,Freehold,9000000,"₹ 6,000/ sq ft ",Ready to move
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Wifi,Gas connection","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED","2,527 sq ft",3,3,3 BHK Apartment ,"4, ",Baner,New,Freehold,14800000,"₹ 5,856/ sq ft ",Ready to move
1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Cafeteria,Rain Water Harvesting,Landscaped Gardens,Wifi","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","1,206 sq ft",,2,2 BHK Apartment ,"8, ",Baner,New,Freehold,8900000,"₹ 7,379/ sq ft ",Ready to move
7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Washing Machine,Microwave,Dining Table,Gas connection,BED","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Wifi","1,150 sq ft",1,2,2 BHK Apartment ,"6, ",Prabhat Road,Resale,Freehold,16500000,"₹ 14,347/ sq ft ","Ready to move,Unfurnished"
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track","1,900 sq ft",1,3,3 BHK Apartment ,"3, ",Model Colony,New,Freehold,27500000,"₹ 14,473/ sq ft ",Ready to move
1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Swimming Pool,Jogging Track,Rain Water Harvesting,Landscaped Gardens,AC,Gas connection","Club House,Gymnasium,Sports Facility,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","2,036 sq ft",2,4,3 BHK Apartment ,"10, ",Bavdhan,New,Co-Operative Society,18000000,"₹ 8,840/ sq ft ",Ready to move
5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens,Refrigerator,Sofa,Washing Machine,Gas connection","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,AC,Wardrobe,TV,Wifi,Dining Table,BED","1,820 sq ft",2,3,3 BHK Apartment ,"1, ",Erandwane,Resale,Freehold,23500000,"₹ 12,912/ sq ft ","Ready to move,Unfurnished"
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Multipurpose Room,Landscaped Gardens,AC,Wifi","Sports Facility,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","3,030 sq ft",2,4,4 BHK Apartment ,"11, ",Baner,Resale,Freehold,35000000,"₹ 11,551/ sq ft ","Ready to move,Semi-Furnished"
0 - 1 year,AC,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","2,653 sq ft",2,4,4 BHK Apartment ,"16, ",Kothrud,New,Co-Operative Society,31836000,"₹ 12,000/ sq ft ",Ready to move
0 - 1 year,AC,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED","1,930 sq ft",2,5,4 BHK Apartment ,"18, ",Kothrud,New,Co-Operative Society,23160000,"₹ 12,000/ sq ft ",Ready to move
1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track","1,650 sq ft",1,3,3 BHK Apartment ,"2, ",Ghole Road,New,Freehold,25000000,"₹ 15,151/ sq ft ",Ready to move
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Maintenance Staff,Multipurpose Room,Landscaped Gardens,Wifi","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","1,000 sq ft",2,2,2 BHK Apartment ,"1, ",Baner,Resale,Freehold,6350000,"₹ 6,350/ sq ft ","Ready to move,Unfurnished"
20 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Sports Facility,Jogging Track,Intercom,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,AC,Wardrobe,Refrigerator,Sofa,Washing Machine,Dining Table,Gas connection,BED","Children's play area,Club House,Swimming Pool,TV,Wifi",650 sq ft,1,2,1 BHK Apartment ,"2, ",Law collage Road,Resale,Freehold,11000000,"₹ 16,923/ sq ft ","Ready to move,Unfurnished"
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,Wifi,Gas connection","Children's play area,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED","1,641 sq ft",2,3,3 BHK Apartment ,"3, ",Baner,New,Freehold,12000000,"₹ 7,312/ sq ft ",Ready to move
2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Shopping Mall,School,Hospital,ATM,AC,Wifi","Sports Facility,Landscaped Gardens,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","2,600 sq ft",3,4,4 BHK Apartment ,"2, ",Wakad,Resale,Freehold,25000000,"₹ 9,615/ sq ft ","Ready to move,Semi-Furnished"
1 - 2 years,"Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School",Lift Available,"6,737 sq ft",3,5,5 BHK Villa ,Gr ,Bhugaon,New,Co-Operative Society,56122710,"₹ 8,330/ sq ft ",Ready to move
1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",Sports Facility,"4,173 sq ft",2,5,4 BHK Apartment ,"3, ",Shivaji Nagar,New,Co-Operative Society,66768000,"₹ 16,000/ sq ft ",Ready to move
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Maintenance Staff,Multipurpose Room,Landscaped Gardens,Wifi","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED",990 sq ft,2,2,2 BHK Apartment ,"4, ",Baner,New,Freehold,6500000,"₹ 6,565/ sq ft ",Ready to move
1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track","1,900 sq ft",1,3,3 BHK Apartment ,"2, ",Deccan Gymkhana,New,Freehold,30900000,"₹ 16,263/ sq ft ",Ready to move
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Maintenance Staff,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital","Gymnasium,Swimming Pool,Sports Facility,Jogging Track","1,001 sq ft",2,2,2 BHK Apartment ,"2, ",Baner,New,Freehold,6150000,"₹ 6,143/ sq ft ",Ready to move
7 - 8 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens,Wardrobe,Refrigerator,Sofa,Dining Table,Gas connection,BED","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,AC,TV,Wifi","1,200 sq ft",1,2,2 BHK Apartment ,"5, ",Prabhat Road,Resale,Freehold,16400000,"₹ 13,666/ sq ft ","Ready to move,Semi-Furnished"
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Maintenance Staff,Cafeteria,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,Gas connection","AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","1,400 sq ft",2,3,3 BHK Apartment ,"1, ",Baner,New,Freehold,11500000,"₹ 8,214/ sq ft ",Ready to move
2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,Wifi,Microwave","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","1,610 sq ft",1,3,3 BHK Apartment ,"7, ",Wakad,Resale,Freehold,13100000,"₹ 8,136/ sq ft ","Ready to move,Semi-Furnished"
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Maintenance Staff,Cafeteria,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,Wifi","AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","2,500 sq ft",3,3,3 BHK Apartment ,"4, ",Baner,New,Freehold,18000000,"₹ 7,200/ sq ft ",Ready to move
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Jogging Track,Rain Water Harvesting,Gas connection","Swimming Pool,Sports Facility,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","1,225 sq ft",2,2,2 BHK Apartment ,"3, ",Hinjewadi,New,Freehold,6260000,"₹ 5,110/ sq ft ",Ready to move
1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track","1,375 sq ft",1,3,3 BHK Apartment ,"4, ",Law collage Road,New,Freehold,20500000,"₹ 14,909/ sq ft ",Ready to move
6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Wifi,Gas connection","AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED","2,800 sq ft",3,4,3 BHK Villa ,"1, ",Wakad,Resale,Freehold,21000000,"₹ 7,500/ sq ft ","Ready to move,Semi-Furnished"
1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track","1,220 sq ft",1,2,2 BHK Apartment ,"3, ",Ghole Road,Resale,Freehold,18500000,"₹ 15,163/ sq ft ","Ready to move,Unfurnished"
1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Washing Machine,Wifi,Dining Table,Gas connection,BED","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track","1,300 sq ft",1,3,3 BHK Apartment ,"2, ",Deccan Gymkhana,Resale,Freehold,20800000,"₹ 16,000/ sq ft ","Ready to move,Semi-Furnished"
20 - 21 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,020 sq ft",,2,2 BHK Apartment ,"2, ",Prabhat Road,Resale,Freehold,11000000,"₹ 10,784/ sq ft ","Ready to move,Unfurnished"
9 - 10 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens,Wardrobe,TV,Refrigerator,Sofa,Washing Machine,Dining Table,Gas connection,BED","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,AC,Wifi","1,470 sq ft",1,3,3 BHK Apartment ,"2, ",Erandwane,Resale,Freehold,17300000,"₹ 11,768/ sq ft ","Ready to move,Semi-Furnished"
13 - 14 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Sports Facility,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,Wardrobe,Refrigerator,Sofa,Washing Machine,Dining Table,Gas connection","Swimming Pool,AC,TV,Wifi,BED","1,950 sq ft",1,3,3 BHK Apartment ,"4, ",Senapati Bapat Road,Resale,Freehold,24500000,"₹ 12,564/ sq ft ","Ready to move,Unfurnished"
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,Wifi,Gas connection","AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED","1,910 sq ft",2,3,3 BHK Apartment ,"10, ",Baner,Resale,Freehold,14500000,"₹ 7,591/ sq ft ","Ready to move,Semi-Furnished"
19 - 20 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Golf Course,Staff Quarter,Shopping Mall,School,Hospital,AC,Wardrobe,TV,Refrigerator,Sofa,Washing Machine,Microwave,Dining Table,Gas connection,BED","Children's play area,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,Wifi","1,100 sq ft",1,3,2 BHK Apartment ,"2, ",Law collage Road,Resale,Freehold,14500000,"₹ 13,181/ sq ft ","Ready to move,Unfurnished"
6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Wifi","1,645 sq ft",2,3,3 BHK Apartment ,"2, ",Prabhat Road,Resale,Freehold,21500000,"₹ 13,069/ sq ft ","Ready to move,Unfurnished"
19 - 20 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,AC,Wardrobe,TV,Refrigerator,Sofa,Washing Machine,Dining Table,Gas connection,BED","Children's play area,Swimming Pool,Sports Facility,Jogging Track,Wifi","1,150 sq ft",1,2,2 BHK Apartment ,"2, ",Prabhat Road,Resale,Freehold,14900000,"₹ 12,956/ sq ft ","Ready to move,Unfurnished"
2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,Wardrobe,Refrigerator,Sofa,Washing Machine,Microwave,Dining Table,Gas connection,BED","Children's play area,Swimming Pool,Sports Facility,Jogging Track,AC,TV,Wifi","1,700 sq ft",1,3,3 BHK Apartment ,"3, ",Law collage Road,Resale,Freehold,24500000,"₹ 14,411/ sq ft ","Ready to move,Unfurnished"
1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Jogging Track,Rain Water Harvesting,Gas connection","Swimming Pool,Sports Facility,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED","1,151 sq ft",2,2,2 BHK Apartment ,"1, ",Hinjewadi,New,Freehold,6442301,"₹ 5,597/ sq ft ",Ready to move
1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,AC,Wifi,Microwave","Sports Facility,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","3,575 sq ft",1,4,4 BHK Apartment ,"2, ",Baner,Resale,Freehold,47500000,"₹ 13,286/ sq ft ","Ready to move,Semi-Furnished"
1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track","1,600 sq ft",1,3,3 BHK Apartment ,"3, ",Model Colony,New,Freehold,22500000,"₹ 14,062/ sq ft ",Ready to move
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Swimming Pool,Landscaped Gardens","Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track","3,375 sq ft",2,4,4 BHK Apartment ,"7, ",Model Colony,Resale,Freehold,64800000,"₹ 19,200/ sq ft ","Ready to move,Unfurnished"
14 - 15 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track","2,110 sq ft",1,4,4 BHK Apartment ,"1, ",Model Colony,Resale,Freehold,24900000,"₹ 11,800/ sq ft ","Ready to move,Unfurnished"
5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Shopping Mall,School,Hospital,ATM,Refrigerator,Sofa,Washing Machine,Dining Table,Gas connection","Children's play area,Club House,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Wardrobe,TV,Wifi,BED","1,550 sq ft",1,3,3 BHK Apartment ,"1, ",Erandwane,Resale,Freehold,21500000,"₹ 13,870/ sq ft ","Ready to move,Unfurnished"
